,Unnamed: 0,Make,Fuel,Model,Cnt,Emission,year
11207,1424,VOLKSWAGEN,DIESEL,GOLF MATCH TDI,10754,128.0,2019
11657,1330,VOLKSWAGEN,PETROL,GOLF MATCH TSI EVO,11702,132.0,2019
11661,1479,VOLKSWAGEN,PETROL,GOLF R TSI 4MOTION S-A,10186,193.0,2019
11557,1456,VOLKSWAGEN,PETROL,GOLF SE NAVIGATION TSI EVO,10462,137.0,2018
11815,1002,VOLKSWAGEN,PETROL,GOLF SPORTSVAN,16204,143.0,2020
11552,750,VOLKSWAGEN,PETROL,GOLF SPORTSVAN,22906,142.0,2018
11645,280,VOLKSWAGEN,PETROL,GOLF SPORTSVAN,58144,145.0,2019
11538,173,VOLKSWAGEN,PETROL,GOLF SPORTSVAN,80624,148.0,2018
11470,827,VOLKSWAGEN,ELECTRIC,ID3 PRO 150 KW,20210,0.0,2020
11469,643,VOLKSWAGEN,ELECTRIC,ID3 PRO 150 KW,27023,0.0,2020
11199,898,VOLKSWAGEN,DIESEL,KOMBI,18555,210.0,2019
11193,614,VOLKSWAGEN,DIESEL,KOMBI,28071,211.0,2019
11083,486,VOLKSWAGEN,DIESEL,KOMBI,35012,208.0,2018
11555,1282,VOLKSWAGEN,PETROL,MOVE UP,12178,118.0,2018
11351,1018,VOLKSWAGEN,DIESEL,MULTIVAN,15950,222.0,2020
11189,369,VOLKSWAGEN,DIESEL,MULTIVAN,45712,228.0,2019
11079,366,VOLKSWAGEN,DIESEL,MULTIVAN,45869,226.0,2018
11204,1306,VOLKSWAGEN,DIESEL,PASSAT,11904,169.0,2019
11656,1280,VOLKSWAGEN,PETROL,PASSAT,12187,156.0,2019
11089,1203,VOLKSWAGEN,DIESEL,PASSAT,13306,163.0,2018
11352,1041,VOLKSWAGEN,DIESEL,PASSAT,15462,139.0,2020
11531,888,VOLKSWAGEN,PETROL,PASSAT,18844,204.0,2017
11944,799,VOLKSWAGEN,PETROL/ELECTRIC,PASSAT,21002,32.0,2020
11551,707,VOLKSWAGEN,PETROL,PASSAT,24185,154.0,2018
11649,670,VOLKSWAGEN,PETROL,PASSAT,25792,159.0,2019
11548,521,VOLKSWAGEN,PETROL,PASSAT,32458,149.0,2018
11345,380,VOLKSWAGEN,DIESEL,PASSAT,44011,144.0,2020
11190,372,VOLKSWAGEN,DIESEL,PASSAT,45062,146.0,2019
11074,204,VOLKSWAGEN,DIESEL,PASSAT,73247,145.0,2018
11071,97,VOLKSWAGEN,DIESEL,PASSAT,112050,148.0,2018
11182,89,VOLKSWAGEN,DIESEL,PASSAT,114866,149.0,2019
11655,1152,VOLKSWAGEN,PETROL,POLO,13856,129.0,2019
11085,773,VOLKSWAGEN,DIESEL,POLO,21776,132.0,2018
11196,744,VOLKSWAGEN,DIESEL,POLO,23110,131.0,2019
11191,408,VOLKSWAGEN,DIESEL,POLO,40840,130.0,2019
11080,392,VOLKSWAGEN,DIESEL,POLO,42526,130.0,2018
11807,324,VOLKSWAGEN,PETROL,POLO,51465,138.0,2020
11805,245,VOLKSWAGEN,PETROL,POLO,64303,130.0,2020
11636,62,VOLKSWAGEN,PETROL,POLO,132551,134.0,2019
11535,58,VOLKSWAGEN,PETROL,POLO,140258,129.0,2018
11634,22,VOLKSWAGEN,PETROL,POLO,207752,129.0,2019
11533,14,VOLKSWAGEN,PETROL,POLO,257226,126.0,2018
11653,972,VOLKSWAGEN,PETROL,POLO SE EVO,16938,130.0,2019
11651,833,VOLKSWAGEN,PETROL,POLO SE TSI,20140,123.0,2019
11546,444,VOLKSWAGEN,PETROL,POLO SE TSI,37524,121.0,2018
11087,996,VOLKSWAGEN,DIESEL,SHARAN,16398,177.0,2018
11198,886,VOLKSWAGEN,DIESEL,SHARAN,18870,181.0,2019
11201,1184,VOLKSWAGEN,DIESEL,T-CROSS,13526,142.0,2019
11811,500,VOLKSWAGEN,PETROL,T-CROSS,33871,141.0,2020
11806,305,VOLKSWAGEN,PETROL,T-CROSS,53868,139.0,2020
11644,273,VOLKSWAGEN,PETROL,T-CROSS,59106,138.0,2019
11640,130,VOLKSWAGEN,PETROL,T-CROSS,95086,137.0,2019
11086,994,VOLKSWAGEN,DIESEL,T-ROC,16402,144.0,2018
11348,785,VOLKSWAGEN,DIESEL,T-ROC,21383,145.0,2020
11082,451,VOLKSWAGEN,DIESEL,T-ROC,37220,146.0,2018
11192,420,VOLKSWAGEN,DIESEL,T-ROC,39332,153.0,2019
11809,355,VOLKSWAGEN,PETROL,T-ROC,47739,146.0,2020
11808,344,VOLKSWAGEN,PETROL,T-ROC,48504,154.0,2020
11541,214,VOLKSWAGEN,PETROL,T-ROC,70230,145.0,2018
11184,199,VOLKSWAGEN,DIESEL,T-ROC,74000,151.0,2019
11537,106,VOLKSWAGEN,PETROL,T-ROC,105340,144.0,2018
11638,103,VOLKSWAGEN,PETROL,T-ROC,108608,155.0,2019
11637,80,VOLKSWAGEN,PETROL,T-ROC,122718,150.0,2019
11091,1431,VOLKSWAGEN,DIESEL,TIGUAN,10690,181.0,2018
11658,1346,VOLKSWAGEN,PETROL,TIGUAN,11512,203.0,2019
11202,1222,VOLKSWAGEN,DIESEL,TIGUAN,12928,186.0,2019
11814,841,VOLKSWAGEN,PETROL,TIGUAN,19931,160.0,2020
11812,518,VOLKSWAGEN,PETROL,TIGUAN,32606,176.0,2020
11347,429,VOLKSWAGEN,DIESEL,TIGUAN,38438,176.0,2020
11346,424,VOLKSWAGEN,DIESEL,TIGUAN,38809,160.0,2020
11643,270,VOLKSWAGEN,PETROL,TIGUAN,59658,168.0,2019
11543,243,VOLKSWAGEN,PETROL,TIGUAN,64630,181.0,2018
11069,235,VOLKSWAGEN,DIESEL,TIGUAN,66832,192.0,2017
11540,191,VOLKSWAGEN,PETROL,TIGUAN,75732,169.0,2018
11641,172,VOLKSWAGEN,PETROL,TIGUAN,80713,180.0,2019
11072,123,VOLKSWAGEN,DIESEL,TIGUAN,96804,165.0,2018
11181,84,VOLKSWAGEN,DIESEL,TIGUAN,120452,165.0,2019
11180,63,VOLKSWAGEN,DIESEL,TIGUAN,132217,175.0,2019
11070,46,VOLKSWAGEN,DIESEL,TIGUAN,156880,161.0,2018
11203,1283,VOLKSWAGEN,DIESEL,TOUAREG,12146,216.0,2019
11088,1131,VOLKSWAGEN,DIESEL,TOUAREG,14096,217.0,2018
11194,621,VOLKSWAGEN,DIESEL,TOUAREG,27856,220.0,2019
11820,1387,VOLKSWAGEN,PETROL,TOURAN,11162,157.0,2020
11353,1057,VOLKSWAGEN,DIESEL,TOURAN,15200,149.0,2020
11652,921,VOLKSWAGEN,PETROL,TOURAN,18062,161.0,2019
11195,708,VOLKSWAGEN,DIESEL,TOURAN,24172,151.0,2019
11550,657,VOLKSWAGEN,PETROL,TOURAN,26384,163.0,2018
11648,445,VOLKSWAGEN,PETROL,TOURAN,37514,161.0,2019
11081,443,VOLKSWAGEN,DIESEL,TOURAN,37542,147.0,2018
11545,379,VOLKSWAGEN,PETROL,TOURAN,44026,163.0,2018
11078,347,VOLKSWAGEN,DIESEL,TOURAN,48412,147.0,2018
11187,327,VOLKSWAGEN,DIESEL,TOURAN,50665,154.0,2019
11499,1367,VOLKSWAGEN,NG,UP!,11338,103.0,2019
11472,1302,VOLKSWAGEN,ELECTRIC,UP!,11951,0.0,2020
11819,1260,VOLKSWAGEN,PETROL,UP!,12378,122.0,2020
11816,1017,VOLKSWAGEN,PETROL,UP!,15952,121.0,2020
11530,297,VOLKSWAGEN,PETROL,UP!,55098,128.0,2017
11646,289,VOLKSWAGEN,PETROL,UP!,56830,119.0,2019
11642,257,VOLKSWAGEN,PETROL,UP!,62046,120.0,2019
11542,219,VOLKSWAGEN,PETROL,UP!,69377,120.0,2018
11539,179,VOLKSWAGEN,PETROL,UP!,78641,118.0,2018
11969,1386,VOLVO,DIESEL,S90,11194,188.0,2018
12039,1054,VOLVO,DIESEL,V40,15208,137.0,2019
12202,608,VOLVO,PETROL,V40,28470,154.0,2019
12151,575,VOLVO,PETROL,V40,29812,155.0,2018
11965,547,VOLVO,DIESEL,V40,31122,138.0,2018
11970,1430,VOLVO,DIESEL,V40 CROSS COUNTRY,10708,141.0,2018
12153,1337,VOLVO,PETROL,V60,11646,198.0,2018
12204,1199,VOLVO,PETROL,V60,13342,177.0,2019
12125,1073,VOLVO,DIESEL,V60,14932,147.0,2020
11968,902,VOLVO,DIESEL,V60,18508,153.0,2018
11966,696,VOLVO,DIESEL,V60,24626,146.0,2018
12034,288,VOLVO,DIESEL,V60,56906,147.0,2019
11971,1433,VOLVO,DIESEL,V60 CROSS COUNTRY,10660,186.0,2018
12037,925,VOLVO,DIESEL,V60 CROSS COUNTRY,18005,161.0,2019
12342,1303,VOLVO,PETROL/ELECTRIC,V60 T8 TWIN ENGINE,11915,51.0,2019
12036,732,VOLVO,DIESEL,V90,23322,163.0,2019
11963,480,VOLVO,DIESEL,V90,35284,163.0,2018
12038,951,VOLVO,DIESEL,V90 CROSS COUNTRY,17564,176.0,2019
11967,777,VOLVO,DIESEL,V90 CROSS COUNTRY,21659,176.0,2018
12361,1021,VOLVO,PETROL/ELECTRIC,XC40,15863,49.0,2020
12124,864,VOLVO,DIESEL,XC40,19417,158.0,2020
12285,552,VOLVO,PETROL,XC40,30675,166.0,2020
12150,463,VOLVO,PETROL,XC40,36544,178.0,2018
11962,422,VOLVO,DIESEL,XC40,39290,164.0,2018
12201,260,VOLVO,PETROL,XC40,61707,171.0,2019
12033,230,VOLVO,DIESEL,XC40,67581,159.0,2019
12152,863,VOLVO,PETROL,XC60,19418,202.0,2018
12203,716,VOLVO,PETROL,XC60,23866,197.0,2019
12123,591,VOLVO,DIESEL,XC60,29254,163.0,2020
11961,164,VOLVO,DIESEL,XC60,83004,179.0,2018
12032,152,VOLVO,DIESEL,XC60,85470,167.0,2019
12327,1186,VOLVO,PETROL/ELECTRIC,XC60 T8 TWIN ENGINE,13488,101.0,2018
12341,884,VOLVO,PETROL/ELECTRIC,XC60 T8 TWIN ENGINE,18914,68.0,2019
12035,685,VOLVO,DIESEL,XC90,25116,196.0,2019
11964,545,VOLVO,DIESEL,XC90,31200,208.0,2018
