,Make,Fuel,Model,Cnt,Emission,year
3068,ABARTH,PETROL,595,3930,162.0,2018
7072,ABARTH,PETROL,595 TURISMO,1282,167.0,2018
7600,ABARTH,PETROL,595 COMPETIZIONE,1156,171.0,2018
10835,ABARTH,PETROL,595 TROFEO,660,177.0,2018
14229,ABARTH,PETROL,595C,408,165.0,2018
16674,ABARTH,PETROL,695 RIVALE,304,171.0,2018
17925,ABARTH,PETROL,595C TURISMO,264,169.0,2018
5087,ABARTH,PETROL,595,2026,162.0,2019
6983,ABARTH,PETROL,595 TURISMO,1306,167.0,2019
7577,ABARTH,PETROL,595 COMPETIZIONE,1162,171.0,2019
16884,ABARTH,PETROL,595C,296,165.0,2019
17923,ABARTH,PETROL,595C TURISMO,264,169.0,2019
12924,ABARTH,PETROL,595 TURISMO,488,166.0,2020
13112,ABARTH,PETROL,595,474,162.0,2020
13627,ABARTH,PETROL,595 COMPETIZIONE,443,170.0,2020
10386,AIWAYS,ELECTRIC,U5,704,0.0,2020
426,ALFA ROMEO,DIESEL,STELVIO,38710,175.0,2018
644,ALFA ROMEO,DIESEL,ALFA GIULIETTA,26895,147.0,2018
857,ALFA ROMEO,DIESEL,GIULIA,19560,144.0,2018
7120,ALFA ROMEO,DIESEL,GIULIETTA,1272,147.0,2018
8812,ALFA ROMEO,DIESEL,ALFA STELVIO,920,177.0,2018
9613,ALFA ROMEO,DIESEL,STELVIO SPECIALE TD AWD AUTO,802,173.0,2018
10745,ALFA ROMEO,DIESEL,ALFA GIULIA,666,149.0,2018
14296,ALFA ROMEO,DIESEL,GIULIA SUPER TD AUTO,404,139.0,2018
19721,ALFA ROMEO,DIESEL,STELVIO MILANO ED TD AWD AUTO,218,173.0,2018
476,ALFA ROMEO,DIESEL,STELVIO,35732,169.0,2019
1034,ALFA ROMEO,DIESEL,ALFA GIULIETTA,15600,148.0,2019
1539,ALFA ROMEO,DIESEL,GIULIA,9702,147.0,2019
5047,ALFA ROMEO,DIESEL,GIULIETTA,2046,148.0,2019
11879,ALFA ROMEO,DIESEL,ALFA STELVIO,562,169.0,2019
14437,ALFA ROMEO,DIESEL,GIULIA SUPER TD AUTO,398,139.0,2019
14660,ALFA ROMEO,DIESEL,STELVIO SPECIALE TD AWD AUTO,386,148.0,2019
19904,ALFA ROMEO,DIESEL,ALFA GIULIA,214,153.0,2019
1274,ALFA ROMEO,DIESEL,STELVIO,12233,166.0,2020
2763,ALFA ROMEO,DIESEL,ALFA GIULIETTA,4551,146.0,2020
3515,ALFA ROMEO,DIESEL,GIULIA,3339,145.0,2020
12894,ALFA ROMEO,DIESEL,GIULIETTA,489,146.0,2020
19953,ALFA ROMEO,DIESEL,ALFA STELVIO,213,167.0,2020
1212,ALFA ROMEO,PETROL,ALFA GIULIETTA,13175,176.0,2018
1481,ALFA ROMEO,PETROL,STELVIO,10184,216.0,2018
2022,ALFA ROMEO,PETROL,GIULIA,6862,192.0,2018
3874,ALFA ROMEO,PETROL,GIULIETTA,2952,176.0,2018
6272,ALFA ROMEO,PETROL,STELVIO QUADRIFOGLIO,1520,261.0,2018
6340,ALFA ROMEO,PETROL,GIULIA VELOCE TB AUTO,1498,189.0,2018
7619,ALFA ROMEO,PETROL,GIULIA QUADRIFOGLIO,1154,241.0,2018
9370,ALFA ROMEO,PETROL,ALFA STELVIO,838,215.0,2018
11466,ALFA ROMEO,PETROL,GIULIETTA SPORT TB,600,179.0,2018
12799,ALFA ROMEO,PETROL,GIULIA V6 BITURBO Q-RIFOGLIO A,496,243.0,2018
13982,ALFA ROMEO,PETROL,STELVIO MILANO ED TB AWD AUTO,422,214.0,2018
16304,ALFA ROMEO,PETROL,ALFA GIULIA,318,202.0,2018
1552,ALFA ROMEO,PETROL,ALFA GIULIETTA,9586,173.0,2019
1628,ALFA ROMEO,PETROL,STELVIO,9118,216.0,2019
2132,ALFA ROMEO,PETROL,GIULIA,6412,190.0,2019
5641,ALFA ROMEO,PETROL,GIULIETTA,1750,173.0,2019
7197,ALFA ROMEO,PETROL,GIULIA VELOCE TB AUTO,1254,189.0,2019
7698,ALFA ROMEO,PETROL,STELVIO QUADRIFOGLIO,1136,260.0,2019
10753,ALFA ROMEO,PETROL,GIULIA QUADRIFOGLIO,666,237.0,2019
11470,ALFA ROMEO,PETROL,ALFA STELVIO,598,212.0,2019
13523,ALFA ROMEO,PETROL,GIULIA V6 BITURBO Q-RIFOGLIO A,448,238.0,2019
13974,ALFA ROMEO,PETROL,STELVIO V6 BT Q-RIFOGLIO AWD A,422,261.0,2019
14319,ALFA ROMEO,PETROL,STELVIO MILANO ED TB AWD AUTO,404,213.0,2019
15721,ALFA ROMEO,PETROL,STELVIO SPECIALE TB AWD AUTO,340,212.0,2019
17686,ALFA ROMEO,PETROL,GIULIETTA SPORT TB,272,180.0,2019
18205,ALFA ROMEO,PETROL,GIULIA VELOCE TI TB AUTO,256,190.0,2019
2798,ALFA ROMEO,PETROL,ALFA GIULIETTA,4467,169.0,2020
3794,ALFA ROMEO,PETROL,STELVIO,3035,210.0,2020
4684,ALFA ROMEO,PETROL,GIULIA,2280,190.0,2020
11066,ALFA ROMEO,PETROL,GIULIETTA,638,170.0,2020
15105,ALFA ROMEO,PETROL,STELVIO QUADRIFOGLIO,365,262.0,2020
16133,ALFA ROMEO,PETROL,GIULIA QUADRIFOGLIO,324,236.0,2020
19492,ALFA ROMEO,PETROL,GIULIETTA SPRINT TB,224,168.0,2020
18007,ALPINA,DIESEL,BMW ALPINA XD3,262,228.0,2019
14115,ALPINA,PETROL,BMW ALPINA B5 BITURBO,414,247.0,2018
19738,ALPINA,PETROL,BMW ALPINA B5 BITURBO TOURING ALLRAD M3,218,265.0,2019
3473,ALPINE,PETROL,A110,3386,155.0,2018
1845,ALPINE,PETROL,A110,7696,157.0,2019
7806,ALPINE,PETROL,A110,1110,162.0,2020
10859,ASTON MARTIN,PETROL,VANTAGE V8 AUTO,658,263.0,2018
13235,ASTON MARTIN,PETROL,DB11 V8 AUTO,466,244.0,2018
13603,ASTON MARTIN,PETROL,DB11,444,246.0,2018
13753,ASTON MARTIN,PETROL,DB11 V8 VOLANTE AUTO,436,263.0,2018
6621,ASTON MARTIN,PETROL,VANTAGE V8 AUTO,1406,262.0,2019
11473,ASTON MARTIN,PETROL,DBS SUPERLEGGERA V12 AUTO,598,306.0,2019
14013,ASTON MARTIN,PETROL,VANTAGE,420,262.0,2019
14667,ASTON MARTIN,PETROL,DB11 V8 AUTO,386,244.0,2019
15123,ASTON MARTIN,PETROL,DB11 V8 VOLANTE AUTO,364,263.0,2019
17593,ASTON MARTIN,PETROL,DB11,274,245.0,2019
18964,ASTON MARTIN,PETROL,DB11 AMR V12 AUTO,236,302.0,2019
19485,ASTON MARTIN,PETROL,DBS,224,306.0,2019
562,AUDI,DIESEL,A3 SPORTBACK,30270,142.0,2017
4165,AUDI,DIESEL,A6 ALLROAD QUATTRO,2684,229.0,2017
139,AUDI,DIESEL,A4 AVANT,90256,151.0,2018
159,AUDI,DIESEL,Q5,83832,194.0,2018
247,AUDI,DIESEL,A3 SPORTBACK,64202,140.0,2018
322,AUDI,DIESEL,Q2,51931,153.0,2018
337,AUDI,DIESEL,Q3,49467,142.0,2018
349,AUDI,DIESEL,A6 AVANT,48237,194.0,2018
668,AUDI,DIESEL,A5 SPORTBACK,25906,153.0,2018
850,AUDI,DIESEL,Q7,19683,224.0,2018
965,AUDI,DIESEL,A6 AVANT,17071,180.0,2018
1062,AUDI,DIESEL,A3 LIMOUSINE,15062,138.0,2018
1089,AUDI,DIESEL,A4 LIMOUSINE,14671,142.0,2018
1191,AUDI,DIESEL,A4 ALLROAD QUATTRO,13458,161.0,2018
1197,AUDI,DIESEL,A6 LIMOUSINE,13373,179.0,2018
1295,AUDI,DIESEL,A6 ALLROAD QUATTRO,12022,178.0,2018
1320,AUDI,DIESEL,A6 LIMOUSINE,11804,198.0,2018
1364,AUDI,DIESEL,Q5 S LINE TDI QUATTRO S-A,11370,194.0,2018
1470,AUDI,DIESEL,A4,10298,161.0,2018
1529,AUDI,DIESEL,SQ7,9788,252.0,2018
1532,AUDI,DIESEL,Q8,9771,225.0,2018
1772,AUDI,DIESEL,A7 SPORTBACK,8184,192.0,2018
2737,AUDI,DIESEL,A8,4596,190.0,2018
3306,AUDI,DIESEL,A6 S LINE 40 TDI S-A,3594,151.0,2018
3623,AUDI,DIESEL,A5 COUPE,3207,147.0,2018
3822,AUDI,DIESEL,A5 CABRIOLET,3006,162.0,2018
3912,AUDI,DIESEL,Q5 SPORT TDI QUATTRO S-A,2906,190.0,2018
4920,AUDI,DIESEL,Q3,2114,155.0,2018
5666,AUDI,DIESEL,A3 S LINE TDI,1738,144.0,2018
5882,AUDI,DIESEL,A3 SE TECHNIK TDI,1660,139.0,2018
5960,AUDI,DIESEL,A7 S LINE 50 TDI QUATTRO S-A,1628,192.0,2018
6693,AUDI,DIESEL,A6 SPORT 40 TDI S-A,1388,149.0,2018
6755,AUDI,DIESEL,Q7 S LINE BLACK ED TDI QUAT A,1370,225.0,2018
6867,AUDI,DIESEL,A8 L,1337,192.0,2018
7043,AUDI,DIESEL,A3 SPORT TDI,1290,143.0,2018
7260,AUDI,DIESEL,A8 50 TDI QUATTRO AUTO,1240,183.0,2018
7595,AUDI,DIESEL,Q8 S LINE 50 TDI QUATTRO AUTO,1158,222.0,2018
8442,AUDI,DIESEL,A6 S LINE 50 TDI QUATTRO S-A,982,188.0,2018
10063,AUDI,DIESEL,A3 S LINE BLACK EDITION TDI,740,144.0,2018
10176,AUDI,DIESEL,Q7 S LINE 50 TDI QUATTRO AUTO,728,223.0,2018
10816,AUDI,DIESEL,Q7 S-LN BLACK ED 50 TDI QUAT A,662,225.0,2018
11588,AUDI,DIESEL,Q7 S LINE 45 TDI QUATTRO AUTO,588,222.0,2018
11603,AUDI,DIESEL,A3 SE TECHNIK 30 TDI,586,138.0,2018
12233,AUDI,DIESEL,Q5 S LINE TDI 40 QUATTRO S-A,534,195.0,2018
12985,AUDI,DIESEL,Q2 S LINE 30 TDI,482,155.0,2018
14237,AUDI,DIESEL,Q5 / 2.0 / TDI Q AUT.,408,193.0,2018
15728,AUDI,DIESEL,Q2 SPORT 30 TDI S-A,340,153.0,2018
16190,AUDI,DIESEL,Q8 S-LN VORSPRUNG50 TDI QUAT A,322,225.0,2018
16597,AUDI,DIESEL,Q2 SPORT 30 TDI,306,149.0,2018
16608,AUDI,DIESEL,A3 SPORT 30 TDI,306,142.0,2018
17199,AUDI,DIESEL,A8 L 50 TDI QUATTRO AUTO,286,189.0,2018
17448,AUDI,DIESEL,Q2 S LINE 30 TDI S-A,278,159.0,2018
19128,AUDI,DIESEL,A8 S LINE 50 TDI QUATTRO AUTO,232,189.0,2018
19184,AUDI,DIESEL,A3 SE TECHNIK 30 TDI S-A,232,138.0,2018
19204,AUDI,DIESEL,A3 S LINE 30 TDI,230,143.0,2018
19649,AUDI,DIESEL,Q7 S LINE VORSPRUNG TDI QUAT A,220,230.0,2018
128,AUDI,DIESEL,A4 AVANT,95466,154.0,2019
170,AUDI,DIESEL,A6 AVANT,81110,172.0,2019
180,AUDI,DIESEL,Q5,78519,196.0,2019
290,AUDI,DIESEL,Q3,56783,163.0,2019
325,AUDI,DIESEL,A3 SPORTBACK,51368,143.0,2019
406,AUDI,DIESEL,Q2,40894,154.0,2019
686,AUDI,DIESEL,Q8,25076,225.0,2019
688,AUDI,DIESEL,A6 LIMOUSINE,24988,164.0,2019
723,AUDI,DIESEL,A5 SPORTBACK,23624,157.0,2019
912,AUDI,DIESEL,Q7,18294,225.0,2019
1291,AUDI,DIESEL,A4 LIMOUSINE,12102,148.0,2019
1300,AUDI,DIESEL,A6 S LINE 40 TDI S-A,11964,152.0,2019
1547,AUDI,DIESEL,A3 LIMOUSINE,9608,141.0,2019
1638,AUDI,DIESEL,A3,9062,143.0,2019
1918,AUDI,DIESEL,A7 SPORTBACK,7327,186.0,2019
2115,AUDI,DIESEL,Q5 S LINE 40 TDI QUATTRO S-A,6506,195.0,2019
2131,AUDI,DIESEL,SQ5,6424,220.0,2019
2163,AUDI,DIESEL,S6 AVANT,6310,209.0,2019
2367,AUDI,DIESEL,A6 ALLROAD QUATTRO,5508,199.0,2019
2408,AUDI,DIESEL,A4,5384,148.0,2019
2581,AUDI,DIESEL,Q5 S LINE TDI QUATTRO S-A,4936,195.0,2019
2685,AUDI,DIESEL,Q3 SPORTBACK,4690,161.0,2019
2738,AUDI,DIESEL,Q5 S LINE BLK ED40 TDI QUAT SA,4596,194.0,2019
2996,AUDI,DIESEL,A8,4068,190.0,2019
3005,AUDI,DIESEL,A6 SPORT 40 TDI S-A,4040,150.0,2019
3204,AUDI,DIESEL,A6,3732,160.0,2019
3267,AUDI,DIESEL,Q2 SPORT 30 TDI,3634,149.0,2019
3723,AUDI,DIESEL,Q3 S LINE 35 TDI S-A,3112,158.0,2019
3789,AUDI,DIESEL,Q8 S LINE 50 TDI QUATTRO AUTO,3036,222.0,2019
4092,AUDI,DIESEL,Q7 S LINE BLACK ED TDI QUAT A,2744,225.0,2019
4303,AUDI,DIESEL,SQ8,2570,239.0,2019
4396,AUDI,DIESEL,A6 AVANT,2502,236.0,2019
4453,AUDI,DIESEL,Q7 S LINE 45 TDI QUATTRO AUTO,2456,222.0,2019
4496,AUDI,DIESEL,A5 CABRIOLET,2426,169.0,2019
4629,AUDI,DIESEL,SQ7,2320,252.0,2019
4768,AUDI,DIESEL,Q2 SPORT 30 TDI S-A,2222,155.0,2019
4777,AUDI,DIESEL,A4 ALLROAD QUATTRO,2218,174.0,2019
4876,AUDI,DIESEL,Q2 S LINE 30 TDI S-A,2146,160.0,2019
4974,AUDI,DIESEL,Q2 S LINE 30 TDI,2088,155.0,2019
5671,AUDI,DIESEL,A5 S LINE 40 TDI S-A,1738,148.0,2019
5784,AUDI,DIESEL,A6 S LINE 50 TDI QUATTRO S-A,1696,189.0,2019
5854,AUDI,DIESEL,A4 SPORT 35 TDI S-A,1672,149.0,2019
6330,AUDI,DIESEL,A3 S LINE 30 TDI,1502,142.0,2019
6476,AUDI,DIESEL,A8 L,1452,193.0,2019
6507,AUDI,DIESEL,S7 SPORTBACK,1442,207.0,2019
6561,AUDI,DIESEL,A5,1424,152.0,2019
6608,AUDI,DIESEL,S4 AVANT,1412,188.0,2019
6715,AUDI,DIESEL,Q3 SPORT 35 TDI S-A,1382,153.0,2019
6746,AUDI,DIESEL,A4 S LINE BLACK ED 40 TDI S-A,1372,153.0,2019
6907,AUDI,DIESEL,Q5 SPORT TDI QUATTRO S-A,1326,190.0,2019
6922,AUDI,DIESEL,A4 S LINE 40 TDI S-A,1322,153.0,2019
7124,AUDI,DIESEL,Q5 SPORT 40 TDI QUATTRO S-A,1270,190.0,2019
7189,AUDI,DIESEL,A4 S LINE 35 TDI S-A,1256,154.0,2019
7390,AUDI,DIESEL,A7 S LINE 50 TDI QUATTRO S-A,1206,192.0,2019
7636,AUDI,DIESEL,A3 SE TECHNIK 30 TDI,1148,138.0,2019
7743,AUDI,DIESEL,A5 COUPE,1124,162.0,2019
7799,AUDI,DIESEL,A3 SPORT 30 TDI,1112,142.0,2019
7809,AUDI,DIESEL,Q3 SPORT 35 TDI QUATTRO,1110,175.0,2019
7843,AUDI,DIESEL,A4 SE 35 TDI S-A,1102,146.0,2019
8196,AUDI,DIESEL,A3 S LINE 30 TDI S-A,1026,141.0,2019
8320,AUDI,DIESEL,Q7 S LINE 50 TDI QUATTRO AUTO,1004,223.0,2019
8689,AUDI,DIESEL,Q7 S LINE VORSPRUNG TDI QUAT A,938,230.0,2019
8885,AUDI,DIESEL,Q5 S LN V-SPRUNG 40TDI QUAT SA,906,201.0,2019
8891,AUDI,DIESEL,A5 S LINE 40 TDI QUATTRO S-A,906,164.0,2019
8907,AUDI,DIESEL,A4 S LINE 40 TDI QUATTRO S-A,902,165.0,2019
9022,AUDI,DIESEL,Q2 S LINE BLACK EDITION 30 TDI,886,161.0,2019
9070,AUDI,DIESEL,A4 S-LN BLACK ED40 TDI QUAT SA,878,166.0,2019
9267,AUDI,DIESEL,Q3 S LINE 35 TDI QUATTRO,852,182.0,2019
9381,AUDI,DIESEL,A4 S LINE BLACK ED 35 TDI S-A,836,153.0,2019
9474,AUDI,DIESEL,A3 S LINE BLACK EDITION 30 TDI,822,143.0,2019
9738,AUDI,DIESEL,A5 S LINE BLACK ED 40 TDI S-A,784,148.0,2019
9856,AUDI,DIESEL,A7 S LINE 40 TDI S-A,768,157.0,2019
9944,AUDI,DIESEL,Q8 S-LN VORSPRUNG50 TDI QUAT A,756,225.0,2019
10009,AUDI,DIESEL,S6 LIMOUSINE,748,204.0,2019
10331,AUDI,DIESEL,A8 S LINE 50 TDI QUATTRO AUTO,712,189.0,2019
10485,AUDI,DIESEL,A6 S LINE BLACK ED 40 TDI SA,694,155.0,2019
10602,AUDI,DIESEL,A3 S LINE BLACK ED 35 TDI S-A,680,146.0,2019
11170,AUDI,DIESEL,A7,628,185.0,2019
11306,AUDI,DIESEL,A3 SE TECHNIK 30 TDI S-A,614,138.0,2019
11403,AUDI,DIESEL,S5 SPORTBACK,606,186.0,2019
11780,AUDI,DIESEL,A7 S LINE 45 TDI QUATTRO AUTO,570,191.0,2019
11939,AUDI,DIESEL,A3 SPORT 30 TDI S-A,556,140.0,2019
12664,AUDI,DIESEL,A4 SPORT 40 TDI S-A,504,147.0,2019
12954,AUDI,DIESEL,A6 S LINE 40 TDI QUATTRO S-A,486,160.0,2019
13012,AUDI,DIESEL,Q7 SLN BLK ED 50TDI MHEV QTO A,480,225.0,2019
13091,AUDI,DIESEL,A3 S LINE BLACK ED 30 TDI S-A,476,142.0,2019
13104,AUDI,DIESEL,Q3 S LINE 40 TDI QUATTRO S-A,474,193.0,2019
13303,AUDI,DIESEL,A3 S LINE 35 TDI S-A,460,145.0,2019
14028,AUDI,DIESEL,A5 S LINE 35 TDI S-A,420,151.0,2019
14114,AUDI,DIESEL,A8 50 TDI QUATTRO AUTO,414,185.0,2019
14152,AUDI,DIESEL,Q7 SPORT 45 TDI QUATTRO AUTO,412,221.0,2019
14735,AUDI,DIESEL,A5 S-LN BLACK ED40 TDI QUAT SA,382,164.0,2019
14875,AUDI,DIESEL,SQ5 TDI QUATTRO AUTO,376,218.0,2019
15525,AUDI,DIESEL,A5 SPORT 40 TDI S-A,348,147.0,2019
15662,AUDI,DIESEL,Q3 SPORT 40 TDI QUATTRO S-A,342,184.0,2019
16266,AUDI,DIESEL,A4 TECHNIK 35 TDI S-A,320,135.0,2019
16394,AUDI,DIESEL,AUDI Q5,314,228.0,2019
16526,AUDI,DIESEL,Q7 S LINE 50 TDI MHEV QUAT A,310,224.0,2019
16664,AUDI,DIESEL,A3 SPORT 35 TDI S-A,304,145.0,2019
17516,AUDI,DIESEL,A6 S LNE BLK ED 40 TDI QUAT SA,276,163.0,2019
17525,AUDI,DIESEL,A3 S LINE 35 TDI,276,133.0,2019
17875,AUDI,DIESEL,Q2 SE 30 TDI,266,149.0,2019
18359,AUDI,DIESEL,Q3 S LINE VORSPRUNG 35 TDI S-A,252,164.0,2019
18859,AUDI,DIESEL,SQ7 VORSPRUNG TDI MHEV QUAT A,238,251.0,2019
19320,AUDI,DIESEL,S4 TDI QUATTRO AUTO,228,185.0,2019
19362,AUDI,DIESEL,A6 ALLROAD SPORT TDI QUAT S-A,226,193.0,2019
19426,AUDI,DIESEL,S6 TDI QUATTRO AUTO,226,207.0,2019
19944,AUDI,DIESEL,SQ8 VORSPRUNG TDI MHEV QUAT A,214,240.0,2019
498,AUDI,DIESEL,A4 AVANT,34157,147.0,2020
807,AUDI,DIESEL,Q5,20752,185.0,2020
854,AUDI,DIESEL,A6 AVANT,19612,166.0,2020
882,AUDI,DIESEL,Q3,18954,161.0,2020
1024,AUDI,DIESEL,Q2,15796,155.0,2020
1081,AUDI,DIESEL,Q3 SPORTBACK,14733,166.0,2020
1562,AUDI,DIESEL,A3 SPORTBACK,9511,121.0,2020
1760,AUDI,DIESEL,A5 SPORTBACK,8295,152.0,2020
1787,AUDI,DIESEL,A3 SPORTBACK,8038,144.0,2020
2126,AUDI,DIESEL,A6 LIMOUSINE,6440,156.0,2020
2210,AUDI,DIESEL,Q7,6065,224.0,2020
2593,AUDI,DIESEL,A4 LIMOUSINE,4903,142.0,2020
2667,AUDI,DIESEL,Q8,4737,225.0,2020
2765,AUDI,DIESEL,A6 ALLROAD QUATTRO,4550,198.0,2020
3229,AUDI,DIESEL,SQ8,3693,240.0,2020
3349,AUDI,DIESEL,A4 ALLROAD QUATTRO,3534,172.0,2020
3713,AUDI,DIESEL,A3,3119,143.0,2020
3733,AUDI,DIESEL,S6 AVANT,3098,208.0,2020
3915,AUDI,DIESEL,SQ5,2901,220.0,2020
4152,AUDI,DIESEL,SQ7,2689,251.0,2020
4532,AUDI,DIESEL,A4,2395,143.0,2020
5026,AUDI,DIESEL,A3 LIMOUSINE,2056,142.0,2020
5609,AUDI,DIESEL,Q5 S LINE 40 TDI QUATTRO S-A,1765,193.0,2020
6337,AUDI,DIESEL,A8,1500,199.0,2020
6512,AUDI,DIESEL,Q3 S LINE 35 TDI S-A,1441,157.0,2020
6989,AUDI,DIESEL,Q5 S LINE BLK ED40 TDI QUAT SA,1304,194.0,2020
7195,AUDI,DIESEL,Q7 SLN BLK ED 50TDI MHEV QTO A,1255,224.0,2020
7204,AUDI,DIESEL,S4 AVANT,1252,188.0,2020
7742,AUDI,DIESEL,A5 S LINE 35 TDI MHEV S-A,1125,141.0,2020
7964,AUDI,DIESEL,A7 SPORTBACK,1075,179.0,2020
8288,AUDI,DIESEL,A4 S LINE BLACK ED 35 TDI S-A,1012,147.0,2020
8470,AUDI,DIESEL,A6 S LINE 40 TDI S-A,978,148.0,2020
8491,AUDI,DIESEL,A3 LIMOUSINE,975,121.0,2020
8550,AUDI,DIESEL,Q2 SPORT 30 TDI,963,150.0,2020
8692,AUDI,DIESEL,Q2 S LINE 30 TDI S-A,938,161.0,2020
8723,AUDI,DIESEL,Q7 S LINE 50 TDI MHEV QUAT A,933,223.0,2020
8724,AUDI,DIESEL,A6,933,161.0,2020
9258,AUDI,DIESEL,A3,852,122.0,2020
9270,AUDI,DIESEL,S5 SPORTBACK,852,186.0,2020
9411,AUDI,DIESEL,A5,832,147.0,2020
9448,AUDI,DIESEL,SQ5 TDI QUATTRO AUTO,826,218.0,2020
9618,AUDI,DIESEL,A6 S LINE BLACK ED 40 TDI SA,802,154.0,2020
9817,AUDI,DIESEL,A5 CABRIOLET,773,167.0,2020
10278,AUDI,DIESEL,Q2 SPORT 30 TDI S-A,717,156.0,2020
10316,AUDI,DIESEL,A4 TECHNIK 35 TDI S-A,712,135.0,2020
10584,AUDI,DIESEL,A3 S LINE 35 TDI S-A,683,127.0,2020
11160,AUDI,DIESEL,S7 SPORTBACK,629,207.0,2020
11302,AUDI,DIESEL,A4 S LINE 35 TDI S-A,614,146.0,2020
11718,AUDI,DIESEL,Q5 SPORT 40 TDI QUATTRO S-A,575,185.0,2020
12759,AUDI,DIESEL,S4 BLACK EDITION TDI QUATTRO A,498,185.0,2020
12895,AUDI,DIESEL,A5 COUPE,489,156.0,2020
13713,AUDI,DIESEL,SQ5 VORSPRUNG TDI QUATTRO AUTO,438,226.0,2020
13963,AUDI,DIESEL,Q3 SPORT 35 TDI S-A,423,153.0,2020
14053,AUDI,DIESEL,Q8 S LINE 50 TDI QUATTRO AUTO,418,223.0,2020
14171,AUDI,DIESEL,A5 SPORT 35 TDI MHEV S-A,412,134.0,2020
14568,AUDI,DIESEL,Q2 S LINE 30 TDI,391,156.0,2020
14603,AUDI,DIESEL,S6 LIMOUSINE,390,204.0,2020
14786,AUDI,DIESEL,A5 S LINE 40 TDI S-A,380,149.0,2020
14856,AUDI,DIESEL,A6 SPORT 40 TDI S-A,376,147.0,2020
14885,AUDI,DIESEL,A4 SPORT 35 TDI S-A,375,138.0,2020
15264,AUDI,DIESEL,Q7 S LINE 45 TDI MHEV QUAT A,358,222.0,2020
15706,AUDI,DIESEL,SQ7 VORSPRUNG TDI MHEV QUAT A,341,251.0,2020
16572,AUDI,DIESEL,Q2 S LINE BLACK EDITION 30 TDI,308,158.0,2020
16765,AUDI,DIESEL,Q2 S LINE BLACK ED 30 TDI S-A,301,163.0,2020
17628,AUDI,DIESEL,Q8 S LINE ED 1 50 TDI QUAT A,273,225.0,2020
17979,AUDI,DIESEL,A4 S-LN BLACK ED40 TDI QUAT SA,263,166.0,2020
18121,AUDI,DIESEL,Q3 S LINE 40 TDI QUATTRO S-A,258,190.0,2020
18298,AUDI,DIESEL,SQ7 TDI MHEV QUATTRO AUTO,253,248.0,2020
18760,AUDI,DIESEL,Q2 TECHNIK 30 TDI,242,150.0,2020
18770,AUDI,DIESEL,Q7 SLN BLK ED 45TDI MHEV QTO A,241,223.0,2020
19268,AUDI,DIESEL,S4 TDI QUATTRO AUTO,229,184.0,2020
19270,AUDI,DIESEL,A6 S LNE BLK ED 40 TDI QUAT SA,229,162.0,2020
5211,AUDI,DIESEL/ELECTRIC,Q7 E-TRON,1956,0.0,2017
739,AUDI,ELECTRIC,AUDI E-TRON,23177,0.0,2019
2545,AUDI,ELECTRIC,E-TRON,5016,0.0,2019
2662,AUDI,ELECTRIC,E-TRON 50,4760,0.0,2019
6655,AUDI,ELECTRIC,E-TRON 55 QUATTRO,1400,0.0,2019
9863,AUDI,ELECTRIC,E-TRON LAUNCH ED 55 QUAT,768,0.0,2019
1462,AUDI,ELECTRIC,E-TRON 50,10387,0.0,2020
1737,AUDI,ELECTRIC,E-TRON 55,8409,0.0,2020
3096,AUDI,ELECTRIC,E-TRON SPORTBACK 55,3875,0.0,2020
4111,AUDI,ELECTRIC,E-TRON TECHNIK 50 QUATTRO,2722,0.0,2020
4261,AUDI,ELECTRIC,E-TRON SPORTBACK 50,2604,0.0,2020
5438,AUDI,ELECTRIC,AUDI E-TRON,1839,0.0,2020
9222,AUDI,ELECTRIC,E-TRON LAUNCH ED 55 QUAT,858,0.0,2020
9369,AUDI,ELECTRIC,E-TRON 55 QUATTRO,840,0.0,2020
11012,AUDI,ELECTRIC,E-TRON,643,0.0,2020
12986,AUDI,ELECTRIC,E-TRON S LINE 55 QUATTRO,482,0.0,2020
14639,AUDI,ELECTRIC,E-TRON S LINE 50 QUATTRO,387,0.0,2020
15018,AUDI,ELECTRIC,E-TRON SPORT 50 QUATTRO,369,0.0,2020
5128,AUDI,NG,A5 SPORTBACK G-TRON,2008,206.0,2018
3227,AUDI,NG,A3 SPORTBACK G-TRON,3694,116.0,2019
9633,AUDI,NG,A4 AVANT G-TRON,800,129.0,2019
13509,AUDI,NG,A5 SPORTBACK G-TRON,448,128.0,2019
18166,AUDI,NG,A3,258,116.0,2019
10136,AUDI,NG,A3 SPORTBACK G-TRON,733,116.0,2020
12802,AUDI,NG,A4 AVANT G-TRON,496,125.0,2020
17765,AUDI,NG,A3 SPORTBACK G-TRON,269,111.0,2020
9382,AUDI,NG-BIOMETHANE,A3 SPORTBACK G-TRON,836,117.0,2019
12679,AUDI,NG-BIOMETHANE,A4 AVANT G-TRON,504,131.0,2019
15127,AUDI,NG-BIOMETHANE,A5 SPORTBACK G-TRON,364,130.0,2019
17780,AUDI,NG-BIOMETHANE,A3 SPORTBACK G-TRON,268,116.0,2020
18845,AUDI,NG-BIOMETHANE,A5 SPORTBACK G-TRON,239,127.0,2020
211,AUDI,PETROL,Q2,71924,144.0,2018
251,AUDI,PETROL,A3 SPORTBACK,62918,144.0,2018
286,AUDI,PETROL,A1 SPORTBACK,57099,135.0,2018
440,AUDI,PETROL,A4 AVANT,37670,163.0,2018
494,AUDI,PETROL,Q3,34511,160.0,2018
